"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"5077033729";"";"4420_100031113_11_14";"21:55:00";"21:55:00";"13919";"";"";"";"24";"";"";
"5077033747";"";"4420_100031113_11_14";"22:05:00";"22:05:00";"4174";"";"";"";"33";"";"";
"5077033765";"";"4420_100031113_11_14";"22:00:00";"22:00:00";"7258";"";"";"";"28";"";"";
"5077223178";"";"4437_100031099_24_6";"22:26:00";"22:26:00";"1213";"";"";"";"10";"";"";
"5077223315";"";"4437_100031099_24_6";"22:34:00";"22:34:00";"3699";"";"";"";"15";"";"";
"5077223390";"";"4437_100031099_24_6";"22:38:00";"22:38:00";"3701";"";"";"";"19";"";"";
"5077223410";"";"4437_100031099_24_6";"22:18:00";"22:18:00";"3611";"";"";"";"5";"";"";
"5077223460";"";"4437_100031099_24_6";"22:31:00";"22:31:00";"7163";"";"";"";"14";"";"";
"5077223504";"";"4437_100031099_24_6";"22:35:00";"22:35:00";"3700";"";"";"";"16";"";"";
"5077223548";"";"4437_100031099_24_6";"22:19:00";"22:19:00";"11288";"";"";"";"6";"";"";
"5077223580";"";"4437_100031099_24_6";"22:14:00";"22:14:00";"6152";"";"";"";"1";"";"";
"5077223597";"";"4437_100031099_24_6";"22:36:00";"22:36:00";"7114";"";"";"";"17";"";"";
"5077223704";"";"4437_100031099_24_6";"22:23:00";"22:23:00";"22810";"";"";"";"8";"";"";
"5077223705";"";"4437_100031099_24_6";"22:29:00";"22:29:00";"1215";"";"";"";"12";"";"";
"5077223711";"";"4437_100031099_24_6";"22:27:00";"22:27:00";"1214";"";"";"";"11";"";"";
"5077223761";"";"4437_100031099_24_6";"22:40:00";"22:40:00";"7117";"";"";"";"21";"";"";
"5077223776";"";"4437_100031099_24_6";"22:41:00";"22:41:00";"6741";"";"";"";"22";"";"";
"5077223924";"";"4437_100031099_24_6";"22:37:00";"22:37:00";"7115";"";"";"";"18";"";"";
"5077223962";"";"4437_100031099_24_6";"22:30:00";"22:30:00";"1216";"";"";"";"13";"";"";
"5077224010";"";"4437_100031099_24_6";"22:21:00";"22:21:00";"10148";"";"";"";"7";"";"";
"5077224052";"";"4437_100031099_24_6";"22:15:00";"22:15:00";"6153";"";"";"";"2";"";"";
"5077224091";"";"4437_100031099_24_6";"22:39:00";"22:39:00";"7116";"";"";"";"20";"";"";
"5077224105";"";"4437_100031099_24_6";"22:24:00";"22:24:00";"1212";"";"";"";"9";"";"";
"5077224108";"";"4437_100031099_24_6";"22:17:00";"22:17:00";"3610";"";"";"";"4";"";"";
"5077224196";"";"4437_100031099_24_6";"22:16:00";"22:16:00";"3609";"";"";"";"3";"";"";
"5077293539";"";"4429_100019690_1_2";"06:02:00";"06:02:00";"13919";"";"";"";"22";"";"";
"5077293844";"";"4429_100019690_1_2";"06:05:00";"06:05:00";"5339";"";"";"";"24";"";"";
"5077294037";"";"4429_100019690_1_2";"05:57:00";"05:57:00";"6164";"";"";"";"19";"";"";
"5077294056";"";"4429_100019690_1_2";"05:30:00";"05:30:00";"3924";"";"";"";"4";"";"";
"5077294095";"";"4429_100019690_1_2";"05:51:00";"05:51:00";"6365";"";"";"";"16";"";"";
"5077294162";"";"4429_100019690_1_2";"05:31:00";"05:31:00";"3925";"";"";"";"5";"";"";
"5077294169";"";"4429_100019690_1_2";"05:45:00";"05:45:00";"14882";"";"";"";"13";"";"";
"5077294210";"";"4429_100019690_1_2";"05:29:00";"05:29:00";"3923";"";"";"";"3";"";"";
"5077294219";"";"4429_100019690_1_2";"05:37:00";"05:37:00";"3706";"";"";"";"8";"";"";
"5077294303";"";"4429_100019690_1_2";"05:41:00";"05:41:00";"3705";"";"";"";"10";"";"";
"5077294316";"";"4429_100019690_1_2";"06:00:00";"06:00:00";"6166";"";"";"";"21";"";"";
"5077294412";"";"4429_100019690_1_2";"06:03:00";"06:03:00";"22638";"";"";"";"23";"";"";
"5077294416";"";"4429_100019690_1_2";"05:28:00";"05:28:00";"3948";"";"";"";"2";"";"";
"5077294494";"";"4429_100019690_1_2";"05:49:00";"05:49:00";"3445";"";"";"";"15";"";"";
"5077294529";"";"4429_100019690_1_2";"05:33:00";"05:33:00";"3944";"";"";"";"6";"";"";
"5077294550";"";"4429_100019690_1_2";"05:59:00";"05:59:00";"6165";"";"";"";"20";"";"";
"5077294557";"";"4429_100019690_1_2";"05:52:00";"05:52:00";"6366";"";"";"";"17";"";"";
"5077294565";"";"4429_100019690_1_2";"05:43:00";"05:43:00";"1002231";"";"";"";"12";"";"";
"5077294571";"";"4429_100019690_1_2";"05:42:00";"05:42:00";"3704";"";"";"";"11";"";"";
"5077294573";"";"4429_100019690_1_2";"05:27:00";"05:27:00";"5365";"";"";"";"1";"";"";
"5077294602";"";"4429_100019690_1_2";"05:36:00";"05:36:00";"7110";"";"";"";"7";"";"";
"5077294944";"";"4429_100019690_1_2";"05:54:00";"05:54:00";"1002188";"";"";"";"18";"";"";
"5077294954";"";"4429_100019690_1_2";"05:47:00";"05:47:00";"6242";"";"";"";"14";"";"";
