"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799608";"1004563";"Новая Деревня";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[36.90793125, 56.07887783]]]";"{type=Point, coordinates=[36.90793125, 56.07887783]}";
"5107799609";"1004203";"13-я линия";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.90213634, 55.77654151]]]";"{type=Point, coordinates=[37.90213634, 55.77654151]}";
"5107799610";"1004205";"11-я линия";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.89799162, 55.77295506]]]";"{type=Point, coordinates=[37.89799162, 55.77295506]}";
"5107799611";"1004123";"Октябрьская ул., 37";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[38.00080223, 55.7515545]]]";"{type=Point, coordinates=[38.00080223, 55.7515545]}";
"5107799612";"1003846";"Ковровый комбинат";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86805002, 55.66170813]]]";"{type=Point, coordinates=[37.86805002, 55.66170813]}";
"5107799613";"1004263";"Госпиталь";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.46590877, 55.88344052]]]";"{type=Point, coordinates=[37.46590877, 55.88344052]}";
"5107799614";"1004040";"Хлебозавод";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.67336664, 55.54454412]]]";"{type=Point, coordinates=[37.67336664, 55.54454412]}";
"5107799615";"1004002";"Заречная ул., 20";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.96650158, 55.82604883]]]";"{type=Point, coordinates=[37.96650158, 55.82604883]}";
"5107799616";"1004610";"Ленинградское шоссе";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.20716117, 56.01549314]]]";"{type=Point, coordinates=[37.20716117, 56.01549314]}";
"5107799617";"1004114";"Полиция";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.97239028, 55.74802759]]]";"{type=Point, coordinates=[37.97239028, 55.74802759]}";
